地域コード,地域名称,地域名称の読み,地域名称の読み（ひらがな）,市町村コード,市町村コード(XML),情報用市町村名称,情報用市町村名称の読み,情報用市町村名称の読み（ひらがな）,震度観測点コード,震度観測点番号(XML),震度観測点名称,震度観測点名称の読み,震度観測点名称の読み（ひらがな）,観測点所在地,所属,北緯,東経,geohash
101,石狩地方中部,ｲｼｶﾘﾁﾎｳﾁｭｳﾌﾞ,いしかりちほうちゅうぶ,10100,0110100,札幌中央区,ｻｯﾎﾟﾛﾁｭｳｵｳｸ,さっぽろちゅうおうく,1010000,0110100,札幌中央区北２条,ｻｯﾎﾟﾛﾁｭｳｵｳｸｷﾀﾆｼﾞｮｳ,さっぽろちゅうおうくきたにじょう,札幌市中央区北2条西18-2（札幌管区気象台）,気象庁,43.06027777777778,141.32861111111112,xpssb
101,石狩地方中部,ｲｼｶﾘﾁﾎｳﾁｭｳﾌﾞ,いしかりちほうちゅうぶ,10100,0110100,札幌中央区,ｻｯﾎﾟﾛﾁｭｳｵｳｸ,さっぽろちゅうおうく,1010040,0110140,札幌中央区南４条,ｻｯﾎﾟﾛﾁｭｳｵｳｸﾐﾅﾐﾖｼﾞｮｳ,さっぽろちゅうおうくみなみよじょう,札幌市中央区南4西10(中央消防署),市町村,43.05472222222222,141.3427777777778,xpssb
101,石狩地方中部,ｲｼｶﾘﾁﾎｳﾁｭｳﾌﾞ,いしかりちほうちゅうぶ,10101,0110200,札幌北区,ｻｯﾎﾟﾛｷﾀｸ,さっぽろきたく,1010120,0110220,札幌北区太平,ｻｯﾎﾟﾛｷﾀｸﾀｲﾍｲ,さっぽろきたくたいへい,札幌市北区太平12条2-1-7（北区土木センター）,防災科研,43.138888888888886,141.3511111111111,xpst2
101,石狩地方中部,ｲｼｶﾘﾁﾎｳﾁｭｳﾌﾞ,いしかりちほうちゅうぶ,10101,0110200,札幌北区,ｻｯﾎﾟﾛｷﾀｸ,さっぽろきたく,1010140,0110240,札幌北区篠路,ｻｯﾎﾟﾛｷﾀｸｼﾉﾛ,さっぽろきたくしのろ,札幌市北区篠路2-4（北消防署篠路出張所）,市町村,43.14277777777778,141.35777777777778,xpst2
101,石狩地方中部,ｲｼｶﾘﾁﾎｳﾁｭｳﾌﾞ,いしかりちほうちゅうぶ,10101,0110200,札幌北区,ｻｯﾎﾟﾛｷﾀｸ,さっぽろきたく,1010141,0110241,札幌北区新琴似,ｻｯﾎﾟﾛｷﾀｸｼﾝｺﾄﾆ,さっぽろきたくしんことに,札幌市北区新琴似8-4（北消防署新琴似出張所）,市町村,43.11361111111111,141.33027777777778,xpst2
101,石狩地方中部,ｲｼｶﾘﾁﾎｳﾁｭｳﾌﾞ,いしかりちほうちゅうぶ,10102,0110300,札幌東区,ｻｯﾎﾟﾛﾋｶﾞｼｸ,さっぽろひがしく,1010241,0110341,札幌東区元町,ｻｯﾎﾟﾛﾋｶﾞｼｸﾓﾄﾏﾁ,さっぽろひがしくもとまち,札幌市東区北24東17（東消防署）,市町村,43.09444444444445,141.37416666666667,xpst1
101,石狩地方中部,ｲｼｶﾘﾁﾎｳﾁｭｳﾌﾞ,いしかりちほうちゅうぶ,10103,0110400,札幌白石区,ｻｯﾎﾟﾛｼﾛｲｼｸ,さっぽろしろいしく,1010341,0110441,札幌白石区北郷,ｻｯﾎﾟﾛｼﾛｲｼｸｷﾀｺﾞｳ,さっぽろしろいしくきたごう,札幌市白石区北郷3-6（白石消防署北郷出張所）,市町村,43.055,141.42138888888888,xpssf
101,石狩地方中部,ｲｼｶﾘﾁﾎｳﾁｭｳﾌﾞ,いしかりちほうちゅうぶ,10104,0110500,札幌豊平区,ｻｯﾎﾟﾛﾄﾖﾋﾗｸ,さっぽろとよひらく,1010440,0110540,札幌豊平区月寒東,ｻｯﾎﾟﾛﾄﾖﾋﾗｸﾂｷｻﾑﾋｶﾞｼ,さっぽろとよひらくつきさむひがし,札幌市豊平区月寒東1-8（豊平消防署）,市町村,43.030277777777776,141.4,xpssc
101,石狩地方中部,ｲｼｶﾘﾁﾎｳﾁｭｳﾌﾞ,いしかりちほうちゅうぶ,10105,0110600,札幌南区,ｻｯﾎﾟﾛﾐﾅﾐｸ,さっぽろみなみく,1010521,0110621,札幌南区定山渓温泉,ｻｯﾎﾟﾛﾐﾅﾐｸｼﾞｮｳｻﾞﾝｹｲｵﾝｾﾝ,さっぽろみなみくじょうざんけいおんせん,札幌市南区定山渓温泉東1丁目48番2,防災科研,42.97138888888889,141.17777777777778,xpskk
101,石狩地方中部,ｲｼｶﾘﾁﾎｳﾁｭｳﾌﾞ,いしかりちほうちゅうぶ,10105,0110600,札幌南区,ｻｯﾎﾟﾛﾐﾅﾐｸ,さっぽろみなみく,1010542,0110642,札幌南区川沿,ｻｯﾎﾟﾛﾐﾅﾐｸｶﾜｿﾞｴ,さっぽろみなみくかわぞえ,札幌市南区川沿2条3丁目（南消防署川沿出張所）,市町村,43.0,141.3325,xpss8
