地方,振興局,地点番号,観測所名,よみがな,所在地,北緯,東経
北海道,宗谷,11001,宗谷岬,そうやみさき,稚内市宗谷岬,45.52,141.935
北海道,宗谷,11016,稚内,わっかない,稚内市開運　稚内地方気象台,45.415,141.6783333
北海道,宗谷,11046,礼文,れぶん,礼文郡礼文町大字香深村トンナイ,45.305,141.045
北海道,宗谷,11076,浜鬼志別,はまおにしべつ,宗谷郡猿払村浜鬼志別,45.335,142.17
北海道,宗谷,11121,沼川,ぬまかわ,稚内市声問村沼川,45.24833333,141.8516667
北海道,宗谷,11151,沓形,くつがた,利尻郡利尻町沓形泉町,45.17833333,141.1383333
北海道,宗谷,11176,豊富,とよとみ,天塩郡豊富町豊富東2条,45.10166667,141.78
北海道,宗谷,11206,浜頓別,はまとんべつ,枝幸郡浜頓別町クッチャロ湖畔,45.125,142.35
北海道,宗谷,11276,中頓別,なかとんべつ,枝幸郡中頓別町上駒,44.965,142.28
北海道,宗谷,11291,北見枝幸,きたみえさし,枝幸郡枝幸町本町　北見枝幸特別地域気象観測所,44.94,142.585
北海道,宗谷,11316,歌登,うたのぼり,枝幸郡枝幸町歌登東町,44.84166667,142.48
北海道,上川,12011,中川,なかがわ,中川郡中川町中川,44.82833333,142.0766667
北海道,上川,12041,音威子府,おといねっぷ,中川郡音威子府村音威子府,44.72666667,142.265
北海道,上川,12141,美深,びふか,中川郡美深町西町,44.48,142.3416667
北海道,上川,12181,名寄,なよろ,名寄市大橋,44.37,142.4566667
北海道,上川,12231,下川,しもかわ,上川郡下川町南町,44.295,142.6366667
北海道,上川,12261,士別,しべつ,士別市武徳町,44.18666667,142.4166667
北海道,上川,12266,朝日,あさひ,士別市朝日町中央,44.11833333,142.595
北海道,上川,12301,和寒,わっさむ,上川郡和寒町日ノ出,44.02833333,142.41
北海道,上川,12386,江丹別,えたんべつ,旭川市江丹別町芳野,43.87,142.26
北海道,上川,12396,比布,ぴっぷ,上川郡比布町北2線,43.87,142.47
北海道,上川,12411,上川,かみかわ,上川郡上川町栄町,43.84666667,142.7533333
北海道,上川,12442,旭川,あさひかわ,旭川市宮前1条　旭川地方気象台,43.75666667,142.3716667
北海道,上川,12451,東川,ひがしかわ,上川郡東川町北町,43.70166667,142.5083333
北海道,上川,12512,志比内,しびない,上川郡東神楽町志比内,43.64333333,142.5816667
北海道,上川,12551,美瑛,びえい,上川郡美瑛町原野5線,43.58833333,142.4933333
北海道,上川,12596,上富良野,かみふらの,空知郡上富良野町大町,43.455,142.465
北海道,上川,12626,富良野,ふらの,富良野市東町,43.33333333,142.4
北海道,上川,12632,麓郷,ろくごう,富良野市麓郷市街地,43.30166667,142.5216667
北海道,上川,12691,幾寅,いくとら,空知郡南富良野町幾寅,43.16833333,142.5683333
北海道,上川,12746,占冠,しむかっぷ,勇払郡占冠村中央,42.97833333,142.395
北海道,上川,15041,朱鞠内,しゅまりない,雨竜郡幌加内町朱鞠内,44.28166667,142.1616667
北海道,上川,15076,幌加内,ほろかない,雨竜郡幌加内町幌加内,44.01,142.16
北海道,留萌,13061,天塩,てしお,天塩郡天塩町川口,44.89333333,141.7616667
北海道,留萌,13086,遠別,えんべつ,天塩郡遠別町幸和,44.71833333,141.8066667
北海道,留萌,13121,初山別,しょさんべつ,苫前郡初山別村初山別,44.52333333,141.77
北海道,留萌,13146,焼尻,やぎしり,苫前郡羽幌町焼尻白浜,44.42833333,141.4216667
北海道,留萌,13181,羽幌,はぼろ,苫前郡羽幌町南3条　羽幌特別地域気象観測所,44.36333333,141.7
北海道,留萌,13261,達布,たっぷ,留萌郡小平町達布,44.04833333,141.8566667
北海道,留萌,13277,留萌,るもい,留萌市大町　留萌特別地域気象観測所,43.945,141.6316667
北海道,留萌,13311,増毛,ましけ,増毛郡増毛町別苅,43.84833333,141.51
北海道,留萌,13321,幌糠,ほろぬか,留萌市幌糠町,43.85333333,141.76
北海道,石狩,14026,浜益,はまます,石狩市浜益区川下,43.58166667,141.3866667
北海道,石狩,14071,厚田,あつた,石狩市厚田区別狩,43.39666667,141.4366667
北海道,石狩,14101,新篠津,しんしのつ,石狩郡新篠津村第46線北,43.22,141.645
北海道,石狩,14116,山口,やまぐち,札幌市手稲区手稲山口,43.14833333,141.2216667
北海道,石狩,14121,石狩,いしかり,石狩市生振,43.19333333,141.37
北海道,石狩,14136,江別,えべつ,江別市江別太,43.11,141.6016667
北海道,石狩,14163,札幌,さっぽろ,札幌市中央区北2条西　札幌管区気象台,43.06,141.3283333
