都道府県,一次細分区域名称,一次細分区域コード,地点名称,地点コード,週間予報地域①名称,週間予報地域①コード,週間予報地域①の代表地点名称,週間予報地域①の代表地点コード,週間予報地域②名称,週間予報地域②コード,週間予報地域②の代表地点名称,週間予報地域②の代表地点コード
北海道,宗谷地方,011000,稚内,11016,宗谷地方,011000,稚内,11016,宗谷地方,011000,稚内,11016
北海道,上川地方,012010,旭川,12442,上川・留萌地方,012000,旭川,12442,上川・留萌地方,012000,旭川,12442
北海道,留萌地方,012020,留萌,13277,上川・留萌地方,012000,旭川,12442,上川・留萌地方,012000,旭川,12442
北海道,網走地方,013010,網走,17341,網走・北見・紋別地方,013000,網走,17341,網走・北見・紋別地方,013000,網走,17341
北海道,北見地方,013020,北見,17521,網走・北見・紋別地方,013000,網走,17341,網走・北見・紋別地方,013000,網走,17341
北海道,紋別地方,013030,紋別,17112,網走・北見・紋別地方,013000,網走,17341,網走・北見・紋別地方,013000,網走,17341
北海道,根室地方,014010,根室,18273,釧路・根室・十勝地方,014000,釧路,19432,釧路・根室地方,014100,釧路,19432
北海道,釧路地方,014020,釧路,19432,釧路・根室・十勝地方,014000,釧路,19432,釧路・根室地方,014100,釧路,19432
北海道,十勝地方,014030,帯広,20432,釧路・根室・十勝地方,014000,釧路,19432,十勝地方,014030,帯広,20432
北海道,胆振地方,015010,室蘭,21323,胆振・日高地方,015000,室蘭,21323,胆振・日高地方,015000,室蘭,21323
北海道,日高地方,015020,浦河,22327,胆振・日高地方,015000,室蘭,21323,胆振・日高地方,015000,室蘭,21323
北海道,石狩地方,016010,札幌,14163,石狩・空知・後志地方,016000,札幌,14163,石狩・空知・後志地方,016000,札幌,14163
北海道,空知地方,016020,岩見沢,15356,石狩・空知・後志地方,016000,札幌,14163,石狩・空知・後志地方,016000,札幌,14163
北海道,後志地方,016030,倶知安,16217,石狩・空知・後志地方,016000,札幌,14163,石狩・空知・後志地方,016000,札幌,14163
北海道,渡島地方,017010,函館,23232,渡島・檜山地方,017000,函館,23232,渡島・檜山地方,017000,函館,23232
北海道,檜山地方,017020,江差,24217,渡島・檜山地方,017000,函館,23232,渡島・檜山地方,017000,函館,23232
青森県,津軽,020010,青森,31312,津軽,020010,青森,31312,津軽・下北,020100,青森,31312
青森県,下北,020020,むつ,31111,津軽・下北,020100,青森,31312,下北・三八上北,020200,八戸,31602
青森県,三八上北,020030,八戸,31602,三八上北,020030,八戸,31602,下北・三八上北,020200,八戸,31602
岩手県,内陸,030010,盛岡,33431,岩手県,030000,盛岡,33431,内陸,030010,盛岡,33431
岩手県,沿岸北部,030020,宮古,33472,岩手県,030000,盛岡,33431,沿岸,030100,宮古,33472
岩手県,沿岸南部,030030,大船渡,33877,岩手県,030000,盛岡,33431,沿岸,030100,宮古,33472
宮城県,東部,040010,仙台,34392,宮城県,040000,仙台,34392,東部,040010,仙台,34392
宮城県,西部,040020,白石,34461,宮城県,040000,仙台,34392,西部,040020,白石,34461
秋田県,沿岸,050010,秋田,32402,秋田県,050000,秋田,32402,秋田県,050000,秋田,32402
秋田県,内陸,050020,横手,32596,秋田県,050000,秋田,32402,秋田県,050000,秋田,32402
山形県,村山,060010,山形,35426,山形県,060000,山形,35426,山形県,060000,山形,35426
山形県,置賜,060020,米沢,35552,山形県,060000,山形,35426,山形県,060000,山形,35426
山形県,庄内,060030,酒田,35052,山形県,060000,山形,35426,山形県,060000,山形,35426
山形県,最上,060040,新庄,35162,山形県,060000,山形,35426,山形県,060000,山形,35426
福島県,中通り,070010,福島,36127,中通り・浜通り,070100,福島,36127,中通り・浜通り,070100,福島,36127
福島県,浜通り,070020,小名浜,36846,中通り・浜通り,070100,福島,36127,中通り・浜通り,070100,福島,36127
福島県,会津,070030,若松,36361,会津,070030,若松,36361,会津,070030,若松,36361
茨城県,北部,080010,水戸,40201,茨城県,080000,水戸,40201,茨城県,080000,水戸,40201
茨城県,南部,080020,土浦,40341,茨城県,080000,水戸,40201,茨城県,080000,水戸,40201
栃木県,南部,090010,宇都宮,41277,栃木県,090000,宇都宮,41277,栃木県,090000,宇都宮,41277
栃木県,北部,090020,大田原,41141,栃木県,090000,宇都宮,41277,栃木県,090000,宇都宮,41277
群馬県,南部,100010,前橋,42251,群馬県,100000,前橋,42251,南部,100010,前橋,42251
群馬県,北部,100020,みなかみ,42091,群馬県,100000,前橋,42251,北部,100020,みなかみ,42091
埼玉県,南部,110010,さいたま,43241,埼玉県,110000,熊谷,43056,埼玉県,110000,熊谷,43056
埼玉県,北部,110020,熊谷,43056,埼玉県,110000,熊谷,43056,埼玉県,110000,熊谷,43056
埼玉県,秩父地方,110030,秩父,43156,埼玉県,110000,熊谷,43056,埼玉県,110000,熊谷,43056
千葉県,北西部,120010,千葉,45212,千葉県,120000,銚子,45147,千葉県,120000,銚子,45147
